product_name,product_display,product_camera,product_storage,product_ram,product_battery,product_price
Xiaomi Mi 11 Ultra,6.81,146.0,512,12,5000,5992.5
Sony Xperia 5 II,6.1,36.0,256,8,4000,5467.5
Sony Xperia 1 III,6.5,36.0,512,12,4500,5595.0
OnePlus 9 Pro,6.7,108.0,256,12,4500,8077.5
Xiaomi Mi 11 Pro,6.81,71.0,256,12,5000,5992.5
Xiaomi Mi 10 Pro 5G,6.67,148.0,512,12,4500,3105.0
OnePlus 8 Pro,6.78,109.0,256,12,4510,5595.0
Samsung Galaxy Note 20 Ultra,6.9,132.0,512,8,4500,8670.0
Samsung Galaxy Note 20 Ultra (Qualcomm Snapdragon 865 Plus),6.9,132.0,512,8,4500,5242.5
Samsung Galaxy S20 Plus 5G (Qualcomm Snapdragon 865),6.7,88.3,512,12,4500,0
Sony Xperia 1 II 5G,6.5,36.8,256,8,4000,6772.5
Samsung Galaxy Note 20 Ultra 5G (Qualcomm Snapdragon 865 Plus),6.9,132.0,512,12,4500,0
Samsung Galaxy S20 Ultra,6.9,168.3,512,16,5000,6127.5
Samsung Galaxy S21 Ultra (Qualcomm Snapdragon 888),6.8,140.0,512,16,5000,8100.0
Samsung Galaxy S21 Ultra,6.8,140.0,512,16,5000,9742.5
LG V60 ThinQ 5G,6.8,77.3,256,8,5000,0
Samsung Galaxy S20 Ultra (Qualcomm Snapdragon 865),6.9,168.3,512,16,5000,0
Samsung Galaxy S20 5G (Qualcomm Snapdragon 865),6.2,88.0,128,12,4000,8505.0
Xiaomi Mi 11,6.81,126.0,256,12,4600,5992.5
Samsung Galaxy S10 Plus (Qualcomm Snapdragon 855),6.4,40.0,128,8,4100,0
Samsung Galaxy S10 Plus,6.4,40.0,128,8,4100,3555.0
Samsung Galaxy S10 Plus (Qualcomm Snapdragon 855 / 128GB / 8GB RAM),6.4,40.0,128,8,4100,0
Samsung Galaxy S10 Plus (Qualcomm Snapdragon 855 / 512GB / 8GB RAM),6.4,40.0,512,8,4100,0
Samsung Galaxy S10 5G (Qualcomm Snapdragon 855),6.7,40.0,256,8,4500,3847.5
Sony Xperia 5 III,6.1,36.0,256,8,4500,5595.0
Oppo Find X3 Pro,6.7,116.0,256,12,4500,0
Samsung Galaxy S20 Plus 5G,6.7,88.3,512,12,4500,5392.5
OnePlus 9,6.55,100.0,256,12,4500,5655.0
Samsung Galaxy Note 10 Plus (Qualcomm Snapdragon 855),6.8,40.3,512,12,4300,0
Samsung Galaxy Note 10 Plus,6.8,40.3,512,12,4300,0
Samsung Galaxy Note 10 Plus (Qualcomm Snapdragon 855) 256GB,6.8,40.3,256,12,4300,217.5
OnePlus 9R,6.55,71.0,256,12,4500,0
Xiaomi Mi 10S,6.67,125.0,256,12,4780,0
Oppo Find X3,6.7,116.0,256,8,4500,0
Xiaomi Mi 10 5G,6.67,125.0,256,12,4780,0
LG G8 ThinQ,6.1,28.0,128,6,3500,0
Samsung Galaxy Note 10 Plus 5G (Qualcomm Snapdragon 855),6.8,40.3,512,12,4300,0
Samsung Galaxy S20 5G,6.2,88.0,128,12,4000,5370.0
