product_name,product_rating,product_price
Sony Xperia 1 III,1013.3,5595.0
OnePlus 9 Pro,976.54,8077.5
Xiaomi Mi 11 Pro,1069.162,5992.5
Xiaomi Mi 10 Pro 5G,1035.734,3105.0
OnePlus 8 Pro,978.756,5595.0
Samsung Galaxy Note 20 Ultra,1031.78,8670.0
Samsung Galaxy Note 20 Ultra (Qualcomm Snapdragon 865 Plus),1031.78,5242.5
Sony Xperia 1 II 5G,861.46,6772.5
Samsung Galaxy S20 Ultra,1140.6399999999999,6127.5
Samsung Galaxy S21 Ultra (Qualcomm Snapdragon 888),1134.96,8100.0
Samsung Galaxy S21 Ultra,1134.96,9742.5
Samsung Galaxy S20 5G (Qualcomm Snapdragon 865),846.8399999999999,8505.0
Xiaomi Mi 11,1000.162,5992.5
Samsung Galaxy S10 Plus,856.4799999999999,3555.0
Samsung Galaxy S10 5G (Qualcomm Snapdragon 855),962.14,3847.5
Sony Xperia 5 III,961.22,5595.0
Samsung Galaxy S20 Plus 5G,1023.8,5392.5
OnePlus 9,974.9100000000001,5655.0
Samsung Galaxy S20 5G,846.8399999999999,5370.0
Asus Zenfone 8,870.78,5467.5
Xiaomi Mi 10T Pro,1079.334,4117.5
OnePlus 8,928.11,2970.0
Motorola Edge Plus,1081.34,5152.5
Samsung Galaxy S10,793.22,8527.5
Samsung Galaxy S20,846.04,3742.5
Samsung Galaxy S9 Plus,758.4399999999999,3142.5
Samsung Galaxy S21 Plus,1031.74,8242.5
Samsung Galaxy S9,655.5600000000001,1732.5
Huawei P40 Pro Plus,915.316,5827.5
Google Pixel 4,593.58,2362.5
Samsung Galaxy S20 FE,960.5,4117.5
Samsung Galaxy S20 FE 5G,960.5,4117.5
Huawei P30 Pro,958.894,4680.0
Samsung Galaxy S21,871.64,5992.5
Huawei P40 Pro,914.516,4387.5
OnePlus 7T Pro,885.534,5992.5
Samsung Galaxy S10e (Qualcomm Snapdragon 855) 128GB,653.5600000000001,2865.0
Samsung Galaxy S10e,653.5600000000001,5347.5
OnePlus 7 Pro,869.3340000000001,2925.0
LG V50 ThinQ 5G,836.0799999999999,4275.0
